id,name,city,state,google_place_id,review_count,review_mine_status,touchless_mentions
db97ad88-2e47-4911-b7a4-25047d637eb1,"Finish Line Car Wash",Carbondale,IL,ChIJR57CeEMRd4gRRFheFVriM4E,525,touchless_found,0
eaab5973-f415-4377-b758-fd7533e0f9de,"Sheetz",Ravenna,OH,ChIJw3GfNFc5MYgRjNe_xtTn4U4,511,scanned_clean,0
d5e61f71-f7f4-425f-90f1-a988a206104e,"Chesapeake Car Wash",Annapolis,MD,ChIJqVSPay3xt4kRWSb3oHA9Hh4,503,touchless_found,0
49af5dac-1505-40cb-9733-fc8376fbdb28,"The Better Wash - Barry Road",Kansas City,MO,ChIJ0WBTT_pZwIcRDD7-7cs9hkk,499,touchless_found,0
6d75ba45-ca63-490a-88fc-8d4a1196f8b0,"Sheetz",Colfax,NC,ChIJGbrcrusFU4gRuLRa1o6q8No,499,scanned_clean,0
31b9f436-7601-4edd-9781-1e8c5964b8d1,"TRAX Car Wash Edison",Edison,NJ,ChIJvUcoZqC3w4kRbA7QTm7NOiM,493,touchless_found,0
8d50c838-54ac-4efc-b2c2-510c7dedfca1,"Mr. Magic Car Wash - McCandless",Pittsburgh,PA,ChIJLwIUjj-LNIgRiA9pq5qh5QE,486,touchless_found,0
ad12b2e5-62bb-41ae-b4bb-7ffcd8fe8982,"Sheetz",Raleigh,NC,ChIJ5SEWbdZbrIkRloPQfa76Fb8,465,touchless_found,0
241611c2-66d5-4d82-8448-995533c18990,"Kwik Trip",Neenah,WI,ChIJQ3WmwVvHA4gRy1wGTFaQdFM,455,touchless_found,0
4bfc8a04-3869-468f-8463-ff741bb15d64,"White Glove Car Wash & Detail",Wilmington,DE,ChIJe9U36CfjxokRVS1ocO_f4oU,444,touchless_found,0
c8b3512e-8038-466a-918d-89aef2931561,"Race Track Car Wash",Dover,DE,ChIJx1Sj6LBkx4kRgjWKS5YC0yU,444,touchless_found,0
3221ec8a-aa4d-4199-92b8-6ca1ed3d9cdf,"Maui Express Car Wash",Kahului,HI,ChIJf644l9nSVHkRTGXru4Hjl_I,443,touchless_found,0
d76b09aa-5089-4334-a7ed-4f6d1027d203,"Maurer's Sunshine Car Wash",Jackson,MI,ChIJ_1CkaasoPYgRiRa8xiA9xvY,439,mined,0
9f36d2fc-0268-442c-830a-f2e4f9df778f,"North Arlington Car Wash",North Arlington,NJ,ChIJtScIn-BVwokRtqfktpBamQM,432,touchless_found,0
3ceb3722-d0ca-4515-a3c1-0738627d0fb1,"Exxon #33 (Max Car Wash)",Hialeah,FL,ChIJiV2i0rqw2YgRPlNIo44PdQs,428,scanned_clean,0
2cbda75e-e5d8-47f9-bcb6-ae7bdd3a87f7,"Kwik Trip",WAUKESHA,WI,ChIJdT-kSogHBYgR9042h0faY1o,419,touchless_found,0
76d1f548-4016-425e-9a87-e62e4fafc136,"Kwik Trip",Oak Creek,MI,ChIJDZsTdJ0UBYgRsIK2n8Kckss,418,scanned_clean,0
84c84b35-0111-45f5-8c0d-9bd9be5727bc,"Kwik Trip",MENOMONIE,WI,ChIJA_FxM9t9-IcRYnZdl67iUzE,418,scanned_clean,0
b4bfdb35-905d-43c9-bc08-fd9b817e099d,"Sheetz",Asheboro,NC,ChIJyWWnTuNoU4gRV2dNIAGV9AQ,417,touchless_found,0
7731b749-3688-4954-bc25-c1abfabda800,"Hackettstown Car Wash",Hackettstown,NJ,ChIJlRML8H6Dw4kRKaxBz1LbnWA,414,mined,0
77ad0eb2-527d-4a7a-8259-54c2584e932f,"Laundry Loft Laundromat & Car Wash",Greeley,CO,ChIJF4lzh9ujbocRHpgWTKBmpeY,414,touchless_found,0
84e6c23a-6989-49ad-b173-6998a8b85fe4,"Waterdrops Express Car Wash",Camarillo,CA,ChIJzXI1g8hJ6IARVgnT0ck8F_0,404,scanned_clean,0
087a4045-fe5d-4a3b-ad3a-aa754afb387a,"Greenway Auto Wash",Fenton,MI,ChIJTTLLLgBlI4gRMzSDe5Lgt24,398,touchless_found,0
31c8ea5c-d830-44d8-94c0-e765e64cfa8f,"Sheetz",Manheim,PA,ChIJWxVe2-ghxokREIFZY2wzUvk,397,scanned_clean,0
0fbc5674-c118-4844-96aa-cfcee22e1a26,"Patriot Car Wash",Pittsfield,MA,ChIJl9BorGdO54kRDoFCDIMaseI,395,mined,0
9f959ecb-200e-4f9f-b1ff-eb2b57966b84,"33 East Car Wash",Freehold,NJ,ChIJ8cOQ6ffUw4kRXxSOas1GPrI,395,touchless_found,0
270c29e7-b422-4653-b6d2-20e3febe94f7,"Paradise Car Wash",Yorkville,IL,ChIJGe6eUTTqDogRjxETi8yFcL8,391,touchless_found,0
65017cd5-77e3-4740-b385-766bdabde958,"Kwik Trip",Hudson,WI,ChIJQb6DPtrh94cRbyMvfBgyJ3s,390,scanned_clean,0
8e5c885c-54e9-4ab0-a3a0-30c3e62c524c,"Wash Doctors Express",Branchburg,NJ,ChIJsyrfiGSTw4kRsRsaANKNj5g,390,touchless_found,0
5dd0294a-fefc-4e21-9c4b-13a0ed817b73,"Kwik Trip",DUBUQUE,IA,ChIJj_Ek10cs44cR7wPNc-iGqUI,388,scanned_clean,0
19c52c7c-8623-478d-b642-8da891d675bb,"Kwik Trip",SOUTH SAINT PAUL,MN,ChIJE4muRvbT94cRTq1n1HIeBzw,382,touchless_found,0
3bc103f6-279b-4b87-a509-26ffdc7d1f92,"Shell",Claymont,DE,ChIJ6_VtG0DkxokR-QiozHgwunk,380,touchless_found,0
fc7d3fd4-50d4-4cbb-ab3e-c42ee9b708f3,"Cobblestone Auto Spa",Scottsdale,AZ,ChIJbVSWuu8LK4cRyJ16bnAVcsI,376,touchless_found,0
8df44739-1293-4e48-9c74-2c48f5bf2c70,"V I P Car Wash",Salt Lake City,UT,ChIJgYmkvJf0UocRjOWGn8uha3g,375,touchless_found,0
bebc1f70-df0d-4387-a550-8481e0f4007c,"Squeaky Clean Car Wash",Santa Fe,NM,ChIJ3Y0FekxaGIcRxI83PFTTh4s,375,touchless_found,0
d3ddb7e5-1e9a-4c74-95c2-ef92225a4ab1,"Washington Ave Car Wash",Philadelphia,PA,ChIJ_zA7VxjGxokR8GnLPIZoJ88,375,touchless_found,0
cc4525e1-e7cc-47b1-b25e-0c4bab2ee13c,"Hoboken Car Wash",Hoboken,NJ,ChIJzUA6vltXwokRaJNPDstIiTY,366,touchless_found,0
