name,city,state,chain,trophies,hero,amenities,hours,desc,address,phone,directions,snippets,tss,paintSafe,fails
Spotless Carwash,Forest Park,IL,,"Chicago, IL #2",ok,true,true,true,true,true,true,32,93,true,"READY"
Integra Car Wash,Concord,NH,,"Concord, NH #1",ok,true,true,true,true,true,true,26,91,false,"READY"
Mr. Touchless Car Wash,Waterbury,CT,,"Danbury, CT #2",ok,true,true,true,true,true,true,7,84,false,"READY"
Magic Touch Car Wash,El Paso,TX,,"El Paso, TX #1",ok,true,true,true,true,true,true,8,68,false,"READY"
Wash Me! Car Wash,Evans,CO,,"Greeley, CO #3",ok,true,true,true,true,true,true,5,86,false,"READY"
Super Wash,Janesville,WI,Super Wash,"Janesville, WI #1",ok,true,true,true,true,true,true,5,86,false,"READY"
Splash Car Wash,Colorado Springs,CO,Splash Car Wash,"Colorado Springs, CO #1",ok,true,true,true,true,true,true,46,86,true,"READY"
Frog's Car Wash,Erie,PA,,"Erie, PA #1",ok,true,true,true,true,true,true,10,72,false,"READY"
Auto Spa,Erie,PA,,"Erie, PA #3",ok,false,true,true,true,true,true,3,62,false,"amenities"
Evershine Car Wash,Greensboro,NC,,"Greensboro, NC #1",ok,true,true,true,true,true,true,44,82,true,"READY"
The Wash Zone,Ladson,SC,Royal Rinse Car Wash,"Charleston, SC #1",ok,true,true,true,true,true,true,42,58,true,"TSS:58"
Robo Car Wash,Jefferson City,MO,,"Columbia, MO #2",ok,true,true,true,true,true,true,6,73,false,"READY"
Splish Splash Touchless Car Wash,Chippewa Falls,WI,,"Eau Claire, WI #2",ok,true,true,true,true,true,true,4,65,false,"READY"
Autobath Car Wash,Contoocook,NH,,"Concord, NH #2",ok,true,true,true,true,true,true,5,87,false,"READY"
PortSide 5,Fayetteville,AR,,"Fayetteville-Bentonville, AR #2",ok,true,true,true,true,true,true,3,65,false,"READY"
Time To Shine Car Wash,Lewistown,PA,,"State College, PA #1",ok,true,true,true,true,true,true,5,87,false,"READY"
Xtreme Clean Auto Wash,Portage,MI,,"Kalamazoo, MI #3",ok,true,true,true,true,true,true,24,74,true,"READY"
Laziboy Car Wash & Mobile Detailing,Plymouth,WI,,"Sheboygan, WI #1",ok,true,true,true,true,true,true,5,82,false,"READY"
Hidden Cove Car Wash,Layton,UT,,"Salt Lake City, UT #3",ok,true,true,true,true,true,true,21,84,true,"READY"
Suds it Up Car Wash,Bradenton,FL,,"Sarasota, FL #1",ok,true,true,true,true,true,true,15,68,false,"READY"
Kittery Car Wash,Kittery,ME,,"Sanford, ME #2",ok,true,true,true,true,true,true,5,86,false,"READY"
Garibaldi Car Wash,Garibaldi,OR,,"Tillamook, OR #1",ok,true,true,true,true,true,true,4,87,false,"READY"
Hangry Planet,San Bruno,CA,,"San Francisco, CA #2",ok,true,true,true,true,true,true,2,82,false,"snips(2)"
Portside Carwash,Fayetteville,AR,,"Fayetteville-Bentonville, AR #3",ok,true,true,true,true,true,true,10,57,false,"TSS:57"
Nifty Car Wash,Perrysburg,OH,,"Toledo, OH #2",ok,true,false,true,true,false,true,4,71,false,"hours"
Shine On Auto Wash Touchless Automatic,Warwick,RI,,"Providence, RI #2",ok,true,true,true,true,true,true,18,87,false,"READY"
Washie Car Wash - Touchless and Self Service,Orlando,FL,,"Orlando, FL #2",ok,true,true,true,true,true,true,47,92,false,"READY"
Brown Bear Car Wash,Spokane Valley,WA,Brown Bear,"Spokane, WA #2",ok,true,true,true,true,true,true,32,68,true,"READY"
Super Klean Car Wash,Broken Arrow,OK,Super Klean Car Wash,"Tulsa, OK #3",ok,true,true,true,true,true,true,17,82,false,"READY"
Murray Car Wash,Murray,UT,,"Salt Lake City, UT #1",ok,true,true,true,true,true,true,20,94,true,"READY"
Solum Car Wash,New Richmond,WI,,"New Richmond, WI #2",ok,true,true,true,true,true,true,9,61,false,"TSS:61"
Twin Star Car Wash,Snoqualmie,WA,,"Seattle, WA #3",ok,true,true,true,true,true,true,40,83,true,"READY"
Dr Spotless Car Wash,Kansas City,MO,,"Kansas City, MO #2",ok,true,true,true,true,true,true,16,76,true,"READY"
Thunder Auto Wash,Oklahoma City,OK,,"Oklahoma City, OK #1",ok,true,true,true,true,true,true,19,94,true,"READY"
Gorilla Touchless Car Wash San Antonio,San Antonio,TX,Gorilla Car Wash,"San Antonio, TX #1",ok,true,true,true,true,true,true,44,83,true,"READY"
North Country Car Wash,Gardiner,ME,,"Lewiston, ME #2",ok,true,true,true,true,true,true,14,78,true,"READY"
BP Gas Station Laser Touchless Car Wash,Milwaukee,WI,BP,"Milwaukee, WI #2",ok,true,false,true,true,false,true,13,93,false,"hours"
Splash Car Wash @ TPC,San Antonio,TX,Splash Car Wash,"San Antonio, TX #2",ok,true,true,true,true,true,true,18,86,true,"READY"
Rocket Carwash,Temecula,CA,,"Temecula, CA #2",ok,true,true,true,true,true,true,25,86,false,"READY"
Wash N Go,Carson City,NV,,"Reno, NV #3",ok,true,true,true,true,true,true,8,75,false,"READY"
Finishline Car Wash,Mooresville,NC,,"Statesville, NC #1",ok,true,true,true,true,true,true,16,84,false,"READY"
Route 5 Car Wash,Palisades Park,NJ,,"New York City, NY #3; Northern NJ #3",ok,true,true,true,true,true,true,14,85,false,"READY"
Super Wash,Bradley,IL,Super Wash,"Joliet, IL #1",ok,true,true,true,true,true,true,4,84,false,"READY"
Pro Clean Carwash, LLC,Kalispell,MT,,"Kalispell, MT #1",ok,true,true,true,true,true,true,10,73,false,"READY"
Ginger's Car Wash,Westerly,RI,,"Norwich, CT #2",ok,true,true,true,true,true,true,12,79,false,"READY"
SPOTLESS CAR WASH,Orlando,FL,,"Orlando, FL #1",ok,true,true,true,true,true,true,20,89,true,"READY"
Willamette Car Wash,West Linn,OR,,"Portland, OR #3",ok,true,true,true,true,true,true,29,82,false,"READY"
Clementine's Carwash,La Grange,KY,,"Louisville, KY #2",ok,true,true,true,true,true,true,33,86,true,"READY"
A-1 Car Wash touchless 24 HOUR,Dartmouth,MA,,"Providence, RI #3",ok,true,true,true,true,false,true,14,91,false,"READY"
Phoenixville Buggy Bath,Phoenixville,PA,,"Philadelphia, PA #1",ok,true,true,true,true,true,true,55,95,true,"READY"
AutoSpa Central Washington,Yakima,WA,,"Portland, OR #1",ok,true,true,true,true,true,true,20,68,true,"READY"
Drive & Shine Car Wash,South Bend,IN,Drive & Shine,"South Bend, IN #3",ok,true,true,true,true,true,true,10,82,true,"READY"
Kwik Trip,WEST SALEM,WI,Kwik Trip,"La Crosse, WI #1",ok,true,true,true,true,true,true,3,84,false,"READY"
