[08:53:47] ============================================================
[08:53:47] Mine-and-verify pass started
[08:53:47] ============================================================
[09:05:28]   ✓ TOUCHLESS: A-Bay Laserwash — Charlotte, NC (1 snippets)
[09:05:28]   ✓ TOUCHLESS: Garibaldi Car Wash — Garibaldi, OR (4 snippets)
[09:05:28] Batch 7: scanned=50 touchless=15 errors=0 (701s elapsed)
[09:06:00]   ✗ REJECTED:  Laser Car Wash — Stafford, VA
[09:06:00]   ✓ TOUCHLESS: Laserwash 4000 — Ramseur, NC (1 snippets)
[09:06:00]   ✗ REJECTED:  Snappy Car Wash LLC — Ladysmith, WI
[09:06:00]   ✗ REJECTED:  Boston Road Laserwash — Brunswick, OH
[09:06:00]   ✓ TOUCHLESS: Touchless Car Wash — Jackson, MI (2 snippets)
[09:06:00]   ✓ TOUCHLESS: Phil's Laserwash — Rochester, NY (1 snippets)
[09:06:00]   ✗ REJECTED:  Holiday Stationstores | Car Wash — Golden Valley, MN
[09:06:00]   ✗ REJECTED:  Touch.Free Car Wash — Jacksonville, FL
[09:06:00] Batch 8: scanned=50 touchless=3 errors=0 (733s elapsed)
[09:06:33]   ✓ TOUCHLESS: Greco's Laser Wash — Schenectady, NY (1 snippets)
[09:06:33]   ✗ REJECTED:  Laser Wash — Goldsboro, NC
[09:06:33]   ✗ REJECTED:  Laser Wash — Bald Eagle Township, PA
[09:06:33]   ✓ TOUCHLESS: Thortons Touch Free Car Wash — Galesburg, IL (2 snippets)
[09:06:33]   ✗ REJECTED:  Tsc Laser Wash — Vernon, AL
[09:06:33]   ✓ TOUCHLESS: Pueblo West Laser Wash & Vac — Pueblo West, CO (1 snippets)
[09:06:33]   ✓ TOUCHLESS: Magic Suds Car Wash & Laundromat — Elizabeth City, NC (1 snippets)
[09:06:33]   ✗ REJECTED:  Laserwash Touch Free Car Wash — Hardeeville, SC
[09:06:33] Batch 9: scanned=50 touchless=4 errors=0 (766s elapsed)
[09:07:10]   ✓ TOUCHLESS: Touchless Automatic — Huntsville, AL (4 snippets)
[09:07:10]   ✗ REJECTED:  Car Wash — Tucson, AZ
[09:07:10]   ✓ TOUCHLESS: Holiday Stationstores | Car Wash — Minnetonka, MN (1 snippets)
[09:07:10]   ✓ TOUCHLESS: Touchfree Car Wash — Cranston, RI (2 snippets)
[09:07:10]   ✓ TOUCHLESS: Touch Free Wash — Sacramento, CA (1 snippets)
[09:07:10]   ✓ TOUCHLESS: Touchless Car Wash — Kenosha, WI (2 snippets)
[09:07:10]   ✓ TOUCHLESS: Soft Touch Or Touchless car Wash — Chula Vista, CA (1 snippets)
[09:07:10]   ✓ TOUCHLESS: Holiday Stationstores | Car Wash — Bloomington, MN (1 snippets)
[09:07:10]   ✓ TOUCHLESS: Highland Touchless Car Wash — Baton Rouge, LA (2 snippets)
[09:07:10]   ✗ REJECTED:  Conwell's Laser Wash — Elmira, NY
[09:07:10]   ✗ REJECTED:  Touchless Automatic Carwash — Terre Haute, IN
[09:07:10]   ✓ TOUCHLESS: TOUCHFREE TUNNEL WASH — Omaha, NE (1 snippets)
[09:07:10] Batch 10: scanned=50 touchless=9 errors=0 (802s elapsed)
[09:07:48]   ✓ TOUCHLESS: Soft Touch Car Wash — York, ME (1 snippets)
[09:07:48]   ✓ TOUCHLESS: Touchless Car Wash — Plumas Lake, CA (1 snippets)
[09:07:48]   ✗ REJECTED:  Laser Wash — Big Flats, NY
[09:07:48]   ✓ TOUCHLESS: Touchfree Car Wash — Bethlehem, NY (1 snippets)
[09:07:48]   ✗ REJECTED:  Holiday Stationstores | Car Wash — Wayzata, MN
[09:07:48]   ✓ TOUCHLESS: Holiday Stationstores | Car Wash — East Bethel, MN (1 snippets)
[09:07:48]   ✓ TOUCHLESS: Annandale Laser Car Wash (Touchless Car Wash) — Annandale, VA (1 snippets)
[09:07:48]   ✗ REJECTED:  Touchless Car Wash — New Orleans, LA
[09:07:48]   ✓ TOUCHLESS: Royal Wash Touchless Automatic — Powder Springs, GA (1 snippets)
[09:07:48]   ✗ REJECTED:  Touchfree LASERWASH — Horseheads, NY
[09:07:48]   ✗ REJECTED:  Touch Free Car Wash — Newburgh, NY
[09:07:48]   ✗ REJECTED:  Touchless Automatic — New Albany, IN
[09:07:48]   ✓ TOUCHLESS: Snowy White Car Wash - Emsworth — Pittsburgh, PA (1 snippets)
[09:07:48] Batch 11: scanned=50 touchless=7 errors=0 (841s elapsed)
[09:08:26]   ✓ TOUCHLESS: TOUCHLESS CARWASH — Tilden, NE (1 snippets)
[09:08:26]   ✗ REJECTED:  Holiday Stationstores | Car Wash — Elk River, MN
[09:08:26]   ✓ TOUCHLESS: Jacksons Touchless Carwash — Meridian, ID (1 snippets)
[09:08:26]   ✗ REJECTED:  Laser Wash — Red Springs, NC
[09:08:26]   ✓ TOUCHLESS: CHEVRON TOUCH FREE CAR WASH — Delano, CA (2 snippets)
[09:08:26]   ✓ TOUCHLESS: Touchless car wash — North Las Vegas, NV (2 snippets)
[09:08:26]   ✗ REJECTED:  Yoder's Carwash — New Holland, PA
[09:08:26]   ✓ TOUCHLESS: Touchless Automatic — Chambersburg, PA (1 snippets)
[09:08:26] Batch 12: scanned=50 touchless=5 errors=0 (879s elapsed)
[09:08:58]   ✓ TOUCHLESS: Holiday Stationstores | Car Wash — Maplewood, MN (1 snippets)
[09:08:58]   ✗ REJECTED:  Touchless Automatic — Gardnerville, NV
[09:08:58]   ✓ TOUCHLESS: Holiday Stationstores | Car Wash — White Bear Lake, MN (1 snippets)
[09:08:58]   ✗ REJECTED:  Flash Wash — Vancouver, WA
[09:08:58]   ✗ REJECTED:  Chevron — Redmond, WA
[09:08:58]   ✓ TOUCHLESS: Munro Car Wash — Rolla, ND (1 snippets)
[09:08:58] Batch 13: scanned=50 touchless=3 errors=0 (910s elapsed)
[09:09:40]   ✗ REJECTED:  Rydell Car Wash — Grand Forks, ND
[09:09:40]   ✓ TOUCHLESS: Rocky Mountain Car Wash — Riverton, WY (2 snippets)
[09:09:40]   ✓ TOUCHLESS: Cactus Car Wash Innovations — Mesa, AZ (1 snippets)
[09:09:40]   ✗ REJECTED:  Soft Touch Express Car Wash — Milwaukee, WI
[09:09:40]   ✓ TOUCHLESS: Merrick's Touch Free Car Wash — Andrews, TX (1 snippets)
[09:09:40]   ✓ TOUCHLESS: Super Wash — Pittsburgh, PA (10 snippets)
[09:09:40]   ✓ TOUCHLESS: Terrible's Car Wash — Las Vegas, NV (2 snippets)
[09:09:40]   ✗ REJECTED:  Exxon — Deer Park, TX
[09:09:40]   ✗ REJECTED:  Touchless Car Wash — Fargo, ND
[09:09:40]   ✗ REJECTED:  24 Hr Touchless Car Wash — El Paso, TX
[09:09:40] Batch 14: scanned=50 touchless=5 errors=0 (952s elapsed)
[09:10:27]   ✗ REJECTED:  Blue Dolphin Car Wash — Woodinville, WA
[09:10:27]   ✗ REJECTED:  Prenger's Laser Wash — Centralia, MO
[09:10:27]   ✓ TOUCHLESS: Automatic Touchless Car wash — Farmington, NH (1 snippets)
[09:10:27]   ✗ REJECTED:  Towne Center Laser Wash — Richlands, VA
[09:10:27]   ✗ REJECTED:  Lighthouse Laserwash — Port Isabel, TX
[09:10:27]   ✓ TOUCHLESS: Timewise Touch Free Car Wash — Houston, TX (2 snippets)
[09:10:27]   ✗ REJECTED:  Touchless Laser Wash — Dayton, TX
[09:10:27]   ✗ REJECTED:  Valero Touchless Car Wash — Schertz, TX
[09:10:27]   ✓ TOUCHLESS: Touchfree Car Wash — Frankenmuth, MI (1 snippets)
[09:10:27]   ✓ TOUCHLESS: Cache Car Wash Nibley — Nibley, UT (3 snippets)
[09:10:27]   ✗ REJECTED:  Laser Car Wash — Pflugerville, TX
[09:10:27]   ✗ REJECTED:  Touchless Car Wash — Tualatin, OR
[09:10:27]   ✗ REJECTED:  Breckenridge Laserwash — Breckenridge, TX
[09:10:27]   ✓ TOUCHLESS: Black Hills Auto Spa Touchfree Car Wash — Rapid City, SD (1 snippets)
[09:10:27] Batch 15: scanned=50 touchless=5 errors=0 (999s elapsed)
[09:11:10]   ✓ TOUCHLESS: D's Touchless Car Wash, LLC — Othello, WA (3 snippets)
[09:11:10]   ✓ TOUCHLESS: Touchless Car Wash — Redmond, WA (3 snippets)
[09:11:10]   ✗ REJECTED:  General Car Wash — Everett, WA
[09:11:10]   ✓ TOUCHLESS: Clear Lake Laser Wash — Clear Lake, IA (3 snippets)
[09:11:10]   ✓ TOUCHLESS: Terrible's Car Wash — Las Vegas, NV (1 snippets)
[09:11:10]   ✗ REJECTED:  Terrible's Car Wash — North Las Vegas, NV
[09:11:10]   ✓ TOUCHLESS: Terrible's Car Wash — Las Vegas, NV (1 snippets)
[09:11:10]   ✓ TOUCHLESS: Touchless Car Wash — San Antonio, TX (2 snippets)
[09:11:10] Batch 16: scanned=50 touchless=6 errors=0 (1043s elapsed)
[09:12:03]   ✗ REJECTED:  Exxon — Glen Allen, VA
[09:12:03]   ✓ TOUCHLESS: Epic Cascades Carwash — Louisville, OH (1 snippets)
[09:12:03]   ✓ TOUCHLESS: Lakeland Touchless Car Wash — Syracuse, NY (1 snippets)
[09:12:03]   ✗ REJECTED:  $2 Tag Laser Wash! — Temple, TX
[09:12:03]   ✗ REJECTED:  Pueblo Laser Wash & Vac — Pueblo, CO
[09:12:03]   ✓ TOUCHLESS: That Guys Car wash — Decatur, MI (2 snippets)
[09:12:03]   ✗ REJECTED:  Chevron Deerfield Beach — Deerfield Beach, FL
[09:12:03] Batch 17: scanned=50 touchless=3 errors=0 (1096s elapsed)
[09:12:42]   ✗ REJECTED:  Chevron — El Monte, CA
[09:12:42]   ✗ REJECTED:  Holiday Stationstores | Car Wash — Rush City, MN
[09:12:42]   ✗ REJECTED:  Mobil — Mesa, AZ
[09:12:42] Batch 18: scanned=36 touchless=0 errors=0 (1135s elapsed)
[09:12:42] Mining phase complete.
[09:12:42] 
[09:12:42] Mining summary: 886 scanned | 156 touchless | 0 errors
[09:12:42] 
[09:12:42] --- Phase 2: Reverting no-evidence listings ---
[09:12:42] Found 727 is_touchless=true listings with no review evidence after mining
[09:12:42] Sample:
[09:12:42]   ProWash Car Wash — Portland, OR
[09:12:42]   Conwell's Laser Wash — Elmira, NY
[09:12:42]   Touchfree Carwash — Papillion, NE
[09:12:42]   On The Run Laserwash — Zapata, TX
[09:12:42]   Tiger Touch Free Wash — Huntington, WV
[09:12:42]   CrazyCat Car Wash — Eaton, OH
[09:12:42]   Car Wash — Austin, TX
[09:12:42]   Laser Wash — East Grand Forks, MN
[09:12:42]   ... and 719 more
[09:12:46] Reverted 727 listings to is_touchless=false
[09:12:46] 
[09:12:46] ============================================================
[09:12:46] COMPLETE
[09:12:46]   Mined:    886 listings
[09:12:46]   Kept:     156 newly confirmed touchless
[09:12:46]   Reverted: 727 with no evidence
[09:12:46] ============================================================
