rejectReason,name,reviews,address,types,place_id
known-tunnel-chain,Champion Xpress Carwash,635,"395 Alameda Blvd NW, Albuquerque, NM 87114",Car wash,ChIJCZMIzHF1IocR3M1SepRd8Ow
known-tunnel-chain,GO Car Wash,630,"501 Matt Loop, Medford, OR 97501",Car wash,ChIJZXZ16gx8z1QRyMMVSzrZr6M
known-tunnel-chain,Mister Car Wash,629,"1990 E 3300 S, Salt Lake City, UT 84106",Car wash,ChIJzSmupclhUocRXTKfz9NnaLU
known-tunnel-chain,Clean Express Auto Wash,628,"3119 Central Park West, Toledo, OH 43617",Car wash,ChIJJwpo-nJ8PIgRX_ochNr8qBY
known-tunnel-chain,Tommy's Express® Car Wash,617,"150 N 70th St, Lincoln, NE 68505",Car wash|Car detailing service,ChIJvdZ19eK9locRPLjdiCsAjXI
known-tunnel-chain,Clean Express Auto Wash,615,"4340 Heatherdowns Blvd, Toledo, OH 43614",Car wash,ChIJ9z3WDdB5PIgRs6ZBiT2YBd0
known-tunnel-chain,Mike's Carwash,600,"10320 Maysville Rd, Fort Wayne, IN 46835",Car wash,ChIJIbbt5oj-FYgR6nPJS2naTGs
known-tunnel-chain,Take 5 Car Wash,595,"19420 Cantrell Rd, Little Rock, AR 72223",Car wash,ChIJ_ST0NCxfzYcRQu7AxhvqHSc
known-tunnel-chain,Quick Quack Car Wash,592,"1009 Jay Ave, McAllen, TX 78504",Car wash|Self service car wash,ChIJKZkTjjKnZYYRcLVFVTLZjiE
known-tunnel-chain,Tommy's Express® Car Wash,573,"4652 Monroe St, Toledo, OH 43623",Car wash|Car detailing service,ChIJXVVL4m5_PIgRZKJWdK1OSpU
known-tunnel-chain,Zips Car Wash,573,"565 S Andover Rd, Andover, KS 67002",Car wash,ChIJvYVv4J75uocRiMSV3dg5OnU
known-tunnel-chain,Mike's Carwash,560,"4010 E Dupont Rd, Fort Wayne, IN 46825",Car wash,ChIJl_L36cAHFogRG1oJezbPSoY
known-tunnel-chain,Crew Carwash,558,"7127 E US Hwy 36, Avon, IN 46123",Car wash,ChIJu1nXxoqvbIgRqAYX4MiEpI8
known-tunnel-chain,GO Car Wash,549,"1190 Chili Ave, Rochester, NY 14624",Car wash,ChIJuaAEF_Kz1okRIuIUejGFx5s
known-tunnel-chain,GO Car Wash,540,"1021 W William Cannon Dr, Austin, TX 78745",Car wash,ChIJT9kTbSdNW4YR4Hs1KnMTqxQ
known-tunnel-chain,Silverstar Car Wash,536,"1221 W 41st St, Sioux Falls, SD 57105",Car wash|Car detailing service|Self service car wash,ChIJu2j1xrW3jocRVP-anTXf48Y
known-tunnel-chain,Quick Quack Car Wash,534,"531 Carolyn Weston Blvd, Stockton, CA 95206",Car wash,ChIJMcWiFksTkIARbeOtzrKcgmQ
known-tunnel-chain,Mister Car Wash,532,"965 Sunland Park Dr, El Paso, TX 79922",Car wash,ChIJk-OPNrj53YYR_lXWsb049zk
known-tunnel-chain,Club Car Wash,531,"1716 W 21st St, Wichita, KS 67203",Car wash,ChIJTW1uNT7huocRuML7O9204Vw
non-carwash-business,Harbor Freight,522,"3233 W Hammer Ln Suite 3, Stockton, CA 95209",Hardware store|Tool store,ChIJaTBODrsJkIARauHfs3__WRU
known-tunnel-chain,Silverstar Car Wash,518,"1500 S Minnesota Ave, Sioux Falls, SD 57105",Car wash|Car detailing service|Self service car wash,ChIJI_BOlPK1jocRpvIaL-RrpcE
known-tunnel-chain,Zips Car Wash,515,"12301 Maumelle Blvd, North Little Rock, AR 72113",Car wash,ChIJZRrSweah0ocRgDPbyASwnbE
known-tunnel-chain,Flash Car Wash,510,"208 Gansett Ave, Cranston, RI 02910",Car wash,ChIJt_QWnmVP5IkRYm9T2SIJfuo
non-carwash-business,O'Reilly Auto Parts,510,"2627 Haley St, Bakersfield, CA 93305",Auto parts store|Auto body parts supplier|Car battery store|Car repair and maintenance service|Car stereo store|Motorcycle parts store|Trailer supply store|Truck accessories store,ChIJ71lzCUJp6oARXYnvif1atTA
known-tunnel-chain,Champion Xpress Carwash,503,"7509 Menaul Blvd NE, Albuquerque, NM 87110",Car wash,ChIJ9TdnKzQLIocR4EtK0l2RacU
known-tunnel-chain,WhiteWater Express Car Wash,491,"3220 Navarre Ave, Oregon, OH 43616",Car wash,ChIJx1hT_EqFO4gRECqFUjUtTjY
known-tunnel-chain,Hoffman Car Wash,479,"302 Columbia Turnpike, Rensselaer, NY 12144",Car wash,ChIJUwYyYRLi3YkR4EDlJvXzZgw
known-tunnel-chain,Waterway Carwash,472,"30299 Chagrin Blvd, Pepper Pike, OH 44124",Car wash,ChIJv0RGZCIDMYgRlkAKURQ_kVs
known-tunnel-chain,Zips Car Wash,443,"1984 Whitten Rd, Memphis, TN 38133",Car wash,ChIJnVmFykGdf4gRlSLQntuW7cE
known-tunnel-chain,Tommy's Express® Car Wash,429,"155 Chicago Dr, Jenison, MI 49428",Car wash|Car detailing service,ChIJW6if9d-7GYgRCBOBJXf5WwY
known-tunnel-chain,Tommy's Express® Car Wash,418,"3655 W Dublin-Granville Rd, Columbus, OH 43235",Car wash|Car detailing service,ChIJYzHsSXGTOIgRZM69reFD7DQ
known-tunnel-chain,GO Car Wash,413,"2827 Olmos Creek Dr, San Antonio, TX 78230",Car wash,ChIJT9w-MfVhXIYRukFBAXK94zs
known-tunnel-chain,GO Car Wash,413,"2912 W Nolana Ave, McAllen, TX 78501",Car wash,ChIJy3gFWrCnZYYRSKJl2PWeD6c
types-not-carwash: tool store|air compressor supplier|electric generator shop|h,Northern Tool + Equipment,410,"10010 I-30, Little Rock, AR 72209",Tool store|Air compressor supplier|Electric generator shop|Hardware store|Home improvement store|Trailer supply store|Welding supply store,ChIJw8P5rvyl0ocRduHJd6w35jk
known-tunnel-chain,Mister Car Wash,408,"160 W Layton Ave, Milwaukee, WI 53207",Car wash,ChIJX4ybT6UXBYgRUkE68xT0aCs
known-tunnel-chain,Mister Car Wash,396,"3333 Merle Hay Rd, Des Moines, IA 50310",Car wash,ChIJVecX5Aad7ocRNHWeyLWKuSQ
known-tunnel-chain,Mike's Carwash,382,"6250 Far Hills Ave, Centerville, OH 45459",Car wash,ChIJyVjv022PQIgRHr2mAEmH8fw
known-tunnel-chain,Zips Car Wash,382,"14021 Cantrell Rd, Little Rock, AR 72223",Car wash,ChIJyZkXG9uh0ocRgbW_JVNxNg8
known-tunnel-chain,Clean Express Auto Wash,373,"12611 Rockside Rd, Garfield Heights, OH 44125",Car wash,ChIJw0YQ_pjjMIgRhxtB8eyLfJc
known-tunnel-chain,Mister Car Wash,356,"1800 Prescott Rd A, Modesto, CA 95350",Car wash,ChIJXQOir9pRkIARUyXYNvKBKIQ
known-tunnel-chain,GO Car Wash,354,"3765 Union Rd, Buffalo, NY 14225",Car wash,ChIJZwnJnOQN04kRD5R0IFkLdj0
known-tunnel-chain,Silverstar Car Wash,353,"8200 W 41st St, Sioux Falls, SD 57106",Car wash|Car detailing service|Self service car wash,ChIJWzOX_C_LjocRlXbP0aV1vmg
known-tunnel-chain,Club Car Wash,352,"2171 N 127th St E, Wichita, KS 67230",Car wash,ChIJWXqEq9b9uocRzeumjO0bpg8
known-tunnel-chain,Flash Car Wash,341,"56 Talcottville Rd, Vernon, CT 06066",Car wash,ChIJTyWkw9D35okRp1PhKLikgVU
known-tunnel-chain,Autobell Car Wash,333,"3633 Savannah Hwy, Johns Island, SC 29455",Car wash,ChIJQYkp9RmH_ogRUObEXR0y9HQ
known-tunnel-chain,Waterway Carwash,332,"10559 Old Olive Street Rd, Creve Coeur, MO 63141",Car wash,ChIJvZEXF-Ay34cRed1ywxgY-hk
known-tunnel-chain,GO Car Wash,319,"1343 Union Rd, West Seneca, NY 14224",Car wash,ChIJvzZ8XT0P04kR_YJ5D20fLRU
known-tunnel-chain,Mister Car Wash,297,"2954 E Whitmore Ave, Ceres, CA 95307",Car wash,ChIJVYya3terkYARiNnrmaV_ZNk
known-tunnel-chain,Whistle Express Car Wash,290,"1325 Folly Rd, Charleston, SC 29412",Car wash,ChIJ8fe9oGx5_ogRM16aqM8uJNU
known-tunnel-chain,Mike's Carwash,283,"1323 S Hurstbourne Pkwy, Louisville, KY 40222",Car wash,ChIJNRFDhSOgaYgR0CZsq2PsaLQ
known-tunnel-chain,Hoffman Car Wash,258,"440 Whiteview Rd, Wynantskill, NY 12198",Car wash|Self service car wash,ChIJwxcbbeQF3okRgAZQ4dmSbAg
known-tunnel-chain,Club Car Wash,253,"3610 N Maize Rd, Wichita, KS 67205",Car wash,ChIJy2_QZH0hu4cRNYStszTdRmo
known-tunnel-chain,Champion Xpress Carwash,252,"2020 Buena Vista Dr SE, Albuquerque, NM 87106",Car wash,ChIJr6DcCRoLIocRsc7aLfLqxPo
known-tunnel-chain,Flash Car Wash,241,"70 Oak St, Glastonbury, CT 06033",Car wash,ChIJZz0Bsq9R5okRj-NWOmEgo9s
known-tunnel-chain,Tommy's Express® Car Wash,229,"6803 Forest Hills Rd, Loves Park, IL 61111",Car wash|Car detailing service,ChIJxdYqbjO9CIgRp5B1bP4LWX8
non-carwash-business,Chevron Car Wash,225,"510 Newhall Dr, San Jose, CA 95110",Car wash,ChIJB6dUdZ_Lj4ARElCrKzlbLXY
known-tunnel-chain,Whistle Express Car Wash,217,"10721 Marlberry Way, North Fort Myers, FL 33917",Car wash,ChIJUbPaSolp24gR7vmsONwnA8M
known-tunnel-chain,Niagara Car Wash,210,"5504 Zuck Rd, Erie, PA 16506",Car wash,ChIJvSFuWz5-MogR9ArVMfXnaeg
known-tunnel-chain,Niagara Car Wash,195,"4076 Buffalo Rd, Erie, PA 16510",Car wash,ChIJSZHU9dd9LYgRNDdahWNEiwo
non-carwash-business,Chevron,182,"125 NE Morgan Ln, Grants Pass, OR 97526",Gas station,ChIJM7puseR5xVQRgiZps2Jk5fo
known-tunnel-chain,Champion Xpress Carwash,180,"540 Warrior Way, Grand Junction, CO 81504",Car wash,ChIJZQGOPawfR4cRKQMC2Lm0mV4
known-tunnel-chain,Flash Car Wash,178,"16 Fenn Rd, Newington, CT 06111",Car wash,ChIJzaLU5XWz54kROB8Z5RNSRms
known-tunnel-chain,Mike's Carwash,172,"2962 Breckenridge Ln, Louisville, KY 40220",Car wash,ChIJ00cWUnkLaYgRATN7D3_1Zl4
known-tunnel-chain,Club Car Wash,161,"3910 S McColl Rd, Edinburg, TX 78539",Car wash,ChIJYTyfPiehZYYRneu0Fg25vTg
non-carwash-business,Ducky’s Express @ Chevron Daly City,133,"410 Hickey Blvd, Daly City, CA 94015",Car wash,ChIJuwz4E-p7j4ARDJeMTVx_pD8
known-tunnel-chain,Niagara Car Wash,129,"2021 E 38th St, Erie, PA 16510",Car wash,ChIJTfmYqB1-LYgRYF5wGqdUrLg
known-tunnel-chain,GO Car Wash,129,"274 N Ross Ln, Medford, OR 97501",Car wash,ChIJY5YDCyp5z1QRn9zzJ4ckYHM
known-tunnel-chain,Clean Express Auto Wash,128,"5918 Dorr St, Toledo, OH 43615",Car wash,ChIJDQQsibZ7PIgRfpBhNxu0hV4
non-carwash-business,Sunoco Car Wash,122,"2212 Gallows Rd, Fairfax, VA 22031",Car wash,ChIJdRg5C1dLtokRBMzNCEbX9tQ
known-tunnel-chain,Metro Express Car Wash,121,"18811 E Appleway Ave, Spokane Valley, WA 99016",Car wash,ChIJtdPagjnfYVMRBTwnNOFR8aI
known-tunnel-chain,Niagara Car Wash,118,"4640 W 12th St, Erie, PA 16505",Car wash,ChIJfaPEk9J-MogRyQK3TD3Nepk
known-tunnel-chain,Niagara Car Wash,118,"4006 W Ridge Rd, Erie, PA 16506",Car wash,ChIJ04fH_ed-MogRbRkCeHdaSLA
